,University,Details,Location,Rank,Tuition & Fee($),Undergraduate enrollment (fall 2022)
320,Andrews University,https://www.usnews.com/best-colleges/andrews-university-2238,"Berrien Springs, MI",320,33710,1295.0
321,Campbell University,https://www.usnews.com/best-colleges/campbell-university-2913,"Buies Creek, NC",320,40410,2965.0
322,Cleveland State University,https://www.usnews.com/best-colleges/cleveland-state-university-3032,"Cleveland, OH",320,17875,9950.0
323,D'Youville University,https://www.usnews.com/best-colleges/dyouville-college-2712,"Buffalo, NY",320,33540,1399.0
324,East Tennessee State University,https://www.usnews.com/best-colleges/east-tennessee-state-university-3487,"Johnson City, TN",320,13484,10553.0
325,Edgewood College,https://www.usnews.com/best-colleges/edgewood-college-3848,"Madison, WI",320,33550,
326,Indiana University of Pennsylvania,https://www.usnews.com/best-colleges/iup-3277,"Indiana, PA",320,14864,7047.0
327,Kean University,https://www.usnews.com/best-colleges/kean-university-2622,"Union, NJ",320,21076,10845.0
328,Lesley University,https://www.usnews.com/best-colleges/lesley-university-2160,"Cambridge, MA",320,31364,
329,Marymount University,https://www.usnews.com/best-colleges/marymount-university-3724,"Arlington, VA",320,38250,2275.0
330,St. Ambrose University,https://www.usnews.com/best-colleges/st-ambrose-university-1889,"Davenport, IA",320,35598,2120.0
331,Augusta University,https://www.usnews.com/best-colleges/augusta-university-1579,"Augusta, GA",332,22270,5396.0
332,Aurora University,https://www.usnews.com/best-colleges/aurora-university-1634,"Aurora, IL",332,27420,
333,Boise State University,https://www.usnews.com/best-colleges/boise-state-university-1616,"Boise, ID",332,26976,22962.0
334,Marshall University,https://www.usnews.com/best-colleges/marshall-university-3815,"Huntington, WV",332,19658,7962.0
335,The Master's University and Seminary,https://www.usnews.com/best-colleges/the-masters-university-and-seminary-1220,"Santa Clarita, CA",332,32870,1765.0
336,Morgan State University,https://www.usnews.com/best-colleges/morgan-state-2083,"Baltimore, MD",332,18800,7609.0
337,Oakland University,https://www.usnews.com/best-colleges/oakland-university-2307,"Rochester, MI",332,23188,12841.0
338,Southern Illinois University Edwardsville,https://www.usnews.com/best-colleges/southern-illinois-university-edwardsville-1759,"Edwardsville, IL",332,12922,9321.0
339,Texas Woman's University,https://www.usnews.com/best-colleges/texas-womans-university-3646,"Denton, TX",332,23140,10150.0
340,University of Findlay,https://www.usnews.com/best-colleges/university-of-findlay-3045,"Findlay, OH",332,40186,3906.0
341,University of Wisconsin--Milwaukee,https://www.usnews.com/best-colleges/uw-milwaukee-3896,"Milwaukee, WI",332,21514,18751.0
342,University of Wisconsin--Oshkosh,https://www.usnews.com/best-colleges/uw-oshkosh-9630,"Oshkosh, WI",332,15368,11773.0
343,Wichita State University,https://www.usnews.com/best-colleges/wichita-state-university-1950,"Wichita, KS",332,18226,12696.0
344,Baker University,https://www.usnews.com/best-colleges/baker-university-1903,"Baldwin City, KS",345,33800,1187.0
345,Concordia University -- Irvine,https://www.usnews.com/best-colleges/concordia-university-irvine-29059,"Irvine, CA",345,41390,1699.0
346,Daemen University,https://www.usnews.com/best-colleges/daemen-college-2808,"Amherst, NY",345,33724,1782.0
347,University of Louisiana at Lafayette,https://www.usnews.com/best-colleges/university-of-louisiana-at-lafayette-2031,"Lafayette, LA",345,24110,12950.0
348,University of Lynchburg,https://www.usnews.com/best-colleges/university-of-lynchburg-3720,"Lynchburg, VA",345,35540,1589.0
349,University of Tennessee at Chattanooga,https://www.usnews.com/best-colleges/university-of-tennessee-chattanooga-3529,"Chattanooga, TN",345,25966,9884.0
350,William Carey University,https://www.usnews.com/best-colleges/william-carey-university-2447,"Hattiesburg, MS",345,14685,
351,Eastern Kentucky University,https://www.usnews.com/best-colleges/eastern-kentucky-university-1963,"Richmond, KY",352,20222,12072.0
352,Georgia Southern University,https://www.usnews.com/best-colleges/georgia-southern-university-1572,"Statesboro, GA",352,20816,22003.0
353,Missouri State University,https://www.usnews.com/best-colleges/missouri-state-university-2503,"Springfield, MO",352,17144,
354,Point Park University,https://www.usnews.com/best-colleges/point-park-university-3357,"Pittsburgh, PA",352,48070,2418.0
